gene7234	3040 Spliceosome
gene15498	3040 Spliceosome
gene15498	5203 Viral carcinogenesis
gene15498	5206 MicroRNAs in cancer
gene6868	3040 Spliceosome
gene6868	3013 RNA transport
gene13515	3040 Spliceosome
gene13515	5014 Amyotrophic lateral sclerosis
gene13515	3013 RNA transport
gene13515	5168 Herpes simplex virus 1 infection
gene13515	3015 mRNA surveillance pathway
gene8414	3040 Spliceosome
gene4155	3040 Spliceosome
gene9719	3040 Spliceosome
gene4222	3040 Spliceosome
gene4222	5014 Amyotrophic lateral sclerosis
gene4222	3013 RNA transport
gene4222	3015 mRNA surveillance pathway
gene7643	3040 Spliceosome
gene13432	3040 Spliceosome
gene13107	3040 Spliceosome
gene13107	5014 Amyotrophic lateral sclerosis
gene14925	3040 Spliceosome
gene14925	5014 Amyotrophic lateral sclerosis
gene15867	3040 Spliceosome
gene8344	3040 Spliceosome
gene7813	3040 Spliceosome
gene7813	3013 RNA transport
gene1949	3040 Spliceosome
gene1949	5168 Herpes simplex virus 1 infection
gene6285	3040 Spliceosome
gene6285	5168 Herpes simplex virus 1 infection
gene6759	3040 Spliceosome
gene6759	5168 Herpes simplex virus 1 infection
gene13534	3040 Spliceosome
gene13534	5168 Herpes simplex virus 1 infection
gene5099	3040 Spliceosome
gene15643	3040 Spliceosome
gene6679	3040 Spliceosome
gene6102	3040 Spliceosome
gene6216	3040 Spliceosome
gene7286	3040 Spliceosome
gene7401	3040 Spliceosome
gene12729	3040 Spliceosome
gene1566	3040 Spliceosome
gene2613	3040 Spliceosome
gene2614	3040 Spliceosome
gene5758	3040 Spliceosome
gene3278	3040 Spliceosome
gene7749	3040 Spliceosome
gene7411	3040 Spliceosome
gene11004	3040 Spliceosome
gene815	3040 Spliceosome
gene5263	3040 Spliceosome
gene8053	3040 Spliceosome
gene10522	3040 Spliceosome
gene10522	4120 Ubiquitin mediated proteolysis
gene13766	3040 Spliceosome
gene2575	3040 Spliceosome
gene12473	3040 Spliceosome
gene4119	3040 Spliceosome
gene4119	3013 RNA transport
gene4119	3015 mRNA surveillance pathway
gene15706	3040 Spliceosome
gene15706	5168 Herpes simplex virus 1 infection
gene15828	3040 Spliceosome
gene6161	3040 Spliceosome
gene13193	3040 Spliceosome
gene11990	3040 Spliceosome
gene177	3040 Spliceosome
gene177	4212 Longevity regulating pathway - worm
gene15638	3040 Spliceosome
gene15638	4212 Longevity regulating pathway - worm
gene17586	3040 Spliceosome
gene17586	4212 Longevity regulating pathway - worm
gene3742	3040 Spliceosome
gene3742	5322 Systemic lupus erythematosus
gene12136	3040 Spliceosome
gene12138	3040 Spliceosome
gene14091	3040 Spliceosome
gene10521	3040 Spliceosome
gene13517	3040 Spliceosome
gene13517	3013 RNA transport
gene13517	3015 mRNA surveillance pathway
gene2416	3040 Spliceosome
gene2416	3018 RNA degradation
gene2206	3040 Spliceosome
gene2206	3018 RNA degradation
gene8415	3040 Spliceosome
gene8415	5168 Herpes simplex virus 1 infection
gene8415	4657 IL-17 signaling pathway
gene10548	3040 Spliceosome
gene11782	3040 Spliceosome
gene14906	3040 Spliceosome
gene9149	3040 Spliceosome
gene13797	3040 Spliceosome
gene13797	5322 Systemic lupus erythematosus
gene13797	4139 Mitophagy - yeast
gene13167	3040 Spliceosome
gene1877	3040 Spliceosome
gene14601	3040 Spliceosome
gene7692	3040 Spliceosome
gene5569	3040 Spliceosome
gene17039	3040 Spliceosome
gene1543	3040 Spliceosome
gene1543	5014 Amyotrophic lateral sclerosis
gene1543	5168 Herpes simplex virus 1 infection
gene3319	3040 Spliceosome
gene3319	5014 Amyotrophic lateral sclerosis
gene3319	5168 Herpes simplex virus 1 infection
gene3357	3040 Spliceosome
gene3357	5014 Amyotrophic lateral sclerosis
gene3357	5168 Herpes simplex virus 1 infection
gene7682	3040 Spliceosome
gene7682	5014 Amyotrophic lateral sclerosis
gene7682	5168 Herpes simplex virus 1 infection
gene5608	3040 Spliceosome
gene10622	3040 Spliceosome
gene10622	3018 RNA degradation
gene7078	3040 Spliceosome
gene18169	3040 Spliceosome
gene18169	3018 RNA degradation
gene1354	3040 Spliceosome
gene11400	3040 Spliceosome
gene11400	5322 Systemic lupus erythematosus
gene5542	3040 Spliceosome
gene5542	3013 RNA transport
gene5542	3015 mRNA surveillance pathway
gene9421	3040 Spliceosome
gene9421	3013 RNA transport
gene9421	3015 mRNA surveillance pathway
gene9748	3040 Spliceosome
gene9748	3013 RNA transport
gene9748	3015 mRNA surveillance pathway
gene9844	3040 Spliceosome
gene9844	3013 RNA transport
gene9844	3015 mRNA surveillance pathway
gene6877	3040 Spliceosome
gene14890	3040 Spliceosome
gene538	3040 Spliceosome
gene538	3013 RNA transport
gene538	3015 mRNA surveillance pathway
gene5713	3040 Spliceosome
gene4298	3040 Spliceosome
gene5632	3040 Spliceosome
gene2423	3040 Spliceosome
gene11030	3040 Spliceosome
gene11030	4144 Endocytosis
gene11030	4915 Estrogen signaling pathway
gene11030	5020 Prion disease
gene11030	4010 MAPK signaling pathway
gene11030	5145 Toxoplasmosis
gene11030	5162 Measles
gene11030	4141 Protein processing in endoplasmic reticulum
gene11030	4612 Antigen processing and presentation
gene11030	4213 Longevity regulating pathway - multiple species
gene11030	5134 Legionellosis
gene11212	3040 Spliceosome
gene11212	4144 Endocytosis
gene11212	4915 Estrogen signaling pathway
gene11212	5020 Prion disease
gene11212	4010 MAPK signaling pathway
gene11212	5145 Toxoplasmosis
gene11212	5162 Measles
gene11212	4141 Protein processing in endoplasmic reticulum
gene11212	4612 Antigen processing and presentation
gene11212	4213 Longevity regulating pathway - multiple species
gene11212	5134 Legionellosis
gene11787	3040 Spliceosome
gene11787	4144 Endocytosis
gene11787	4915 Estrogen signaling pathway
gene11787	5020 Prion disease
gene11787	4010 MAPK signaling pathway
gene11787	5145 Toxoplasmosis
gene11787	5162 Measles
gene11787	4141 Protein processing in endoplasmic reticulum
gene11787	4612 Antigen processing and presentation
gene11787	4213 Longevity regulating pathway - multiple species
gene11787	5134 Legionellosis
gene15248	3040 Spliceosome
gene15248	4144 Endocytosis
gene15248	4915 Estrogen signaling pathway
gene15248	5020 Prion disease
gene15248	4010 MAPK signaling pathway
gene15248	5145 Toxoplasmosis
gene15248	5162 Measles
gene15248	4141 Protein processing in endoplasmic reticulum
gene15248	4612 Antigen processing and presentation
gene15248	4213 Longevity regulating pathway - multiple species
gene15248	5134 Legionellosis
gene15902	3040 Spliceosome
gene13156	3040 Spliceosome
gene13156	5205 Proteoglycans in cancer
gene13156	5202 Transcriptional misregulation in cancer
gene10538	3040 Spliceosome
gene10538	3008 Ribosome biogenesis in eukaryotes
gene69	3040 Spliceosome
gene69	5022 Pathways of neurodegeneration - multiple diseases
gene69	5014 Amyotrophic lateral sclerosis
gene69	3013 RNA transport
gene69	3015 mRNA surveillance pathway
gene69	5202 Transcriptional misregulation in cancer
gene11677	3040 Spliceosome
gene11677	5022 Pathways of neurodegeneration - multiple diseases
gene11677	5014 Amyotrophic lateral sclerosis
gene11677	3013 RNA transport
gene11677	3015 mRNA surveillance pathway
gene11677	5202 Transcriptional misregulation in cancer
gene15790	3040 Spliceosome
gene15790	5022 Pathways of neurodegeneration - multiple diseases
gene15790	5014 Amyotrophic lateral sclerosis
gene15790	3013 RNA transport
gene15790	3015 mRNA surveillance pathway
gene15790	5202 Transcriptional misregulation in cancer
gene17548	3040 Spliceosome
gene17548	5022 Pathways of neurodegeneration - multiple diseases
gene17548	5014 Amyotrophic lateral sclerosis
gene17548	3013 RNA transport
gene17548	3015 mRNA surveillance pathway
gene17548	5202 Transcriptional misregulation in cancer
gene17549	3040 Spliceosome
gene17549	5022 Pathways of neurodegeneration - multiple diseases
gene17549	5014 Amyotrophic lateral sclerosis
gene17549	3013 RNA transport
gene17549	3015 mRNA surveillance pathway
gene17549	5202 Transcriptional misregulation in cancer
gene17658	3040 Spliceosome
gene17658	5022 Pathways of neurodegeneration - multiple diseases
gene17658	5014 Amyotrophic lateral sclerosis
gene17658	3013 RNA transport
gene17658	3015 mRNA surveillance pathway
gene17658	5202 Transcriptional misregulation in cancer
gene8261	3040 Spliceosome
gene15581	3040 Spliceosome
gene5173	3040 Spliceosome
gene5173	5131 Shigellosis
gene13312	3040 Spliceosome
gene14296	3040 Spliceosome
gene5366	3040 Spliceosome
gene1498	3040 Spliceosome
gene15075	3040 Spliceosome
gene15075	1110 Biosynthesis of secondary metabolites
gene15075	3018 RNA degradation
gene11957	3040 Spliceosome
gene16074	3040 Spliceosome
gene10429	3040 Spliceosome
gene10429	5014 Amyotrophic lateral sclerosis
gene10429	5168 Herpes simplex virus 1 infection
gene4987	3040 Spliceosome
gene2	3040 Spliceosome
gene7977	3040 Spliceosome
gene13399	3040 Spliceosome
gene9914	3040 Spliceosome
gene9914	3013 RNA transport
gene9914	3015 mRNA surveillance pathway
gene197	3040 Spliceosome
gene2827	3040 Spliceosome
gene2827	3013 RNA transport
gene2827	3015 mRNA surveillance pathway
gene5591	3040 Spliceosome
gene5591	3013 RNA transport
gene5591	3015 mRNA surveillance pathway
gene10401	3040 Spliceosome
gene10401	3013 RNA transport
gene14751	3040 Spliceosome
gene14751	3013 RNA transport
gene14769	3040 Spliceosome
gene14769	3013 RNA transport
gene15037	3040 Spliceosome
gene15037	3013 RNA transport
gene15922	3040 Spliceosome
gene15922	3013 RNA transport
gene1852	3040 Spliceosome
